Legal Full Name (as it appears on your birth certificate or passport),Email Address,Phone Number,Address,"City, State, ZIP code",Gender,Marital Status,Do you have children?,What is your ethnicity?,Current Country of Residence,Current Country of Citizenship,Level of Proficiency in English,Other languages spoken fluently:,What is your preferred language for theological study?,What is your highest level of completed education?,Are you currently enrolled in any other academic or theological programs?,Current Occupation,Are there any special accommodations that will be needed during the program?,Have you ever been convicted for any criminal offenses? (Your answer will not necessarily disqualify you from the program or from a scholarship.),Name of Current Church,Your current role within your church,"If you are a lead pastor, how many congregation members does your church currently have? (Note: only include congregation members ages 18 and up)",With which denomination is your church affiliated?,Location of Current Church,How many years have you been affiliated with your church?,"What ministry experience do you currently have (pastoral, missions, teaching, youth, worship, etc.)?",How long have you been a believer?,Do you believe the Bible is the infallible Word of God? (Yes/No with explanation),Are there any teachings/doctrines you currently struggle with or are seeking clarity on?,Please paste a Statement of Purpose (minimum 150 words) demonstrating your commitment to studying through the duration of the program along with your goals and purpose for studying with CCBI.,"How do you hope to use your theological education to impact your church, community or nation?","Are you available for the full duration of the program, including assignments and exams?",Do you have reliable Internet access?,"Do you have access to a quiet, private space for studying?",How and through whom/what did you hear about us (Please be specific)?,Do you know anyone currently studying at CCBI?
Rachel Elizabeth White,rachel.white22@email.com,555-0111,852 Hickory Lane,"Atlanta, GA 30301",Female,Married,No,African American,United States,United States,Proficient / Native,,English,Bachelor's Degree,No,Marketing Manager,No,No,Atlanta First Baptist,Member,N/A,Baptist,"Atlanta, GA",6,Women's Ministry,11 years,Yes,No,"I am dedicated to theological education to better serve women in my church and community. My goal is to develop programs that address the unique spiritual needs of women in various life stages.","I will use my theological training to create comprehensive women's ministry programs and provide biblical counseling for women facing life challenges.",Yes,Yes,Yes,Church retreat,No
Daniel Joseph Taylor,daniel.taylor22@email.com,555-0112,963 Sycamore Drive,"Chicago, IL 60601",Male,Married,Yes,White,United States,United States,Proficient / Native,,English,Associate Degree,No,Police Officer,No,No,Chicago Community Church,Elder,N/A,Non-Denominational,"Chicago, IL",12,Men's Ministry,28 years,Yes,No,"My commitment to theological study comes from a desire to serve my community both professionally and spiritually. I want to understand how to minister to people in crisis and provide hope in difficult situations.","I plan to use my education to develop community outreach programs and provide spiritual support to first responders and their families.",Yes,Yes,Yes,Work colleague,No
Stephanie Marie Clark,stephanie.clark22@email.com,555-0113,174 Walnut Avenue,"Dallas, TX 75201",Female,Single,No,White,United States,United States,Proficient / Native,,English,Bachelor's Degree,No,Elementary Teacher,No,No,Dallas First Baptist,Volunteer,N/A,Baptist,"Dallas, TX",5,Children's Ministry,9 years,Yes,No,"I am committed to theological education to better integrate faith and learning in my classroom and church ministry. My goal is to help children develop both academically and spiritually.","I will use my theological training to develop faith-based educational programs and create resources for parents to support their children's spiritual development.",Yes,Yes,Yes,Teacher conference,No
Anthony Robert Lewis,anthony.lewis22@email.com,555-0114,285 Cherry Street,"Las Vegas, NV 89101",Male,Married,Yes,African American,United States,United States,Proficient / Native,,English,High School Diploma,No,Hotel Manager,No,No,Las Vegas Community Church,Deacon,N/A,Non-Denominational,"Las Vegas, NV",9,Men's Ministry,19 years,Yes,No,"My commitment to theological study is driven by a desire to provide spiritual leadership in a challenging environment. I want to help people find hope and purpose in a city known for entertainment and excess.","I plan to use my education to develop outreach programs for hospitality workers and provide biblical counseling for people struggling with addiction and life challenges.",Yes,Yes,Yes,Church website,No
Nicole Danielle Hall,nicole.hall22@email.com,555-0115,396 Magnolia Court,"Orlando, FL 32801",Female,Married,Yes,White,United States,United States,Proficient / Native,,English,Master's Degree,No,Social Worker,No,No,Orlando Community Church,Member,N/A,Evangelical,"Orlando, FL",7,Family Ministry,13 years,Yes,No,"I am dedicated to theological education to better serve families in crisis and help them find healing and restoration. My goal is to integrate professional social work with biblical principles.","I will use my theological training to develop family counseling programs and provide support for families dealing with various challenges and transitions.",Yes,Yes,Yes,Professional conference,No
Matthew James Young,matthew.james.young22@email.com,555-0116,407 Dogwood Lane,"San Diego, CA 92101",Male,Single,No,Asian,United States,United States,Proficient / Native,Korean,English,Bachelor's Degree,No,Engineer,No,No,San Diego First Baptist,Small Group Leader,N/A,Baptist,"San Diego, CA",4,Youth Ministry,7 years,Yes,No,"My commitment to theological study comes from a desire to effectively minister to young people in a diverse, multicultural environment. I want to help youth navigate the challenges of modern life with biblical wisdom.","I plan to use my education to develop youth programs that address contemporary issues and help young people develop strong Christian character and values.",Yes,Yes,Yes,Church youth event,No
Ashley Nicole King,ashley.king22@email.com,555-0117,518 Redwood Road,"San Francisco, CA 94101",Female,Divorced,Yes,White,United States,United States,Proficient / Native,,English,Associate Degree,No,Administrative Assistant,No,No,San Francisco Community Church,Member,N/A,Non-Denominational,"San Francisco, CA",3,Women's Ministry,6 years,Yes,No,"I am committed to theological education to rebuild my life and faith after a difficult divorce. My goal is to help other women who are going through similar challenges find hope and healing in Christ.","I will use my theological training to develop support groups for single mothers and provide biblical counseling for women dealing with relationship issues.",Yes,Yes,Yes,Support group,No
Brandon Michael Wright,brandon.michael.wright22@email.com,555-0118,629 Cypress Street,"Houston, TX 77001",Male,Married,No,African American,United States,United States,Proficient / Native,,English,Bachelor's Degree,No,Financial Advisor,No,No,Houston First Baptist,Deacon,N/A,Baptist,"Houston, TX",11,Financial Ministry,17 years,Yes,No,"My commitment to theological study is driven by a desire to provide sound biblical counsel on financial matters and help people achieve financial freedom through biblical principles.","I plan to use my education to develop financial stewardship programs and provide biblical counseling on money management and debt reduction.",Yes,Yes,Yes,Financial seminar,No
Samantha Rose Adams,samantha.rose.adams22@email.com,555-0119,730 Pinecone Drive,"Philadelphia, PA 19101",Female,Married,Yes,White,United States,United States,Proficient / Native,,English,Master's Degree,No,School Counselor,No,No,Philadelphia Community Church,Member,N/A,Presbyterian,"Philadelphia, PA",8,Children's Ministry,15 years,Yes,No,"I am dedicated to theological education to better integrate faith and counseling in my work with students and families. My goal is to provide holistic support that addresses both emotional and spiritual needs.","I will use my theological training to develop faith-based counseling programs and provide support for families dealing with educational and behavioral challenges.",Yes,Yes,Yes,Professional development,No
Jonathan Paul Scott,jonathan.scott22@email.com,555-0120,841 Oakwood Avenue,"Detroit, MI 48201",Male,Single,No,White,United States,United States,Proficient / Native,,English,High School Diploma,No,Mechanic,No,No,Detroit Community Church,Elder,N/A,Non-Denominational,"Detroit, MI",14,Men's Ministry,26 years,Yes,No,"My commitment to theological study comes from a desire to provide spiritual leadership in a community facing economic challenges. I want to help men find purpose and hope through faith.","I plan to use my education to develop men's ministry programs and provide mentorship for young men seeking direction and purpose in their lives.",Yes,Yes,Yes,Church men's retreat,No
Jessica Lynn Green,jessica.green22@email.com,555-0121,952 Elmwood Place,"Phoenix, AZ 85002",Female,Married,No,Hispanic,United States,United States,Proficient / Native,Spanish,English,Bachelor's Degree,No,Registered Nurse,No,No,Phoenix Community Church,Member,N/A,Evangelical,"Phoenix, AZ",6,Healthcare Ministry,12 years,Yes,No,"I am committed to theological education to better serve patients and families through healthcare ministry. My goal is to provide compassionate care that addresses both physical and spiritual needs.","I will use my theological training to develop healthcare ministry programs and provide spiritual support to patients and their families during difficult times.",Yes,Yes,Yes,Healthcare conference,No
Ryan Christopher Baker,ryan.baker22@email.com,555-0122,163 Maplewood Court,"Columbus, OH 43201",Male,Married,Yes,White,United States,United States,Proficient / Native,,English,Associate Degree,No,Firefighter,No,No,Columbus First Baptist,Deacon,N/A,Baptist,"Columbus, OH",10,Emergency Ministry,20 years,Yes,No,"My commitment to theological study is driven by a desire to minister to people in crisis and provide hope in life-threatening situations. I want to understand how to share the gospel effectively in emergency situations.","I plan to use my education to develop crisis ministry programs and provide spiritual support to first responders and their families.",Yes,Yes,Yes,Fire department chaplain,No
Melissa Ann Nelson,melissa.nelson22@email.com,555-0123,274 Birchwood Lane,"Minneapolis, MN 55401",Female,Divorced,Yes,White,United States,United States,Proficient / Native,,English,Bachelor's Degree,No,Marketing Coordinator,No,No,Minneapolis Community Church,Member,N/A,Non-Denominational,"Minneapolis, MN",5,Women's Ministry,10 years,Yes,No,"I am dedicated to theological education to rebuild my life and faith after a difficult divorce. My goal is to help other single mothers find hope and support through their faith journey.","I will use my theological training to develop support programs for single mothers and provide biblical counseling for women dealing with relationship and parenting challenges.",Yes,Yes,Yes,Support group,No
Tyler James Carter,tyler.carter22@email.com,555-0124,385 Cedarwood Drive,"Kansas City, MO 64101",Male,Single,No,African American,United States,United States,Proficient / Native,,English,Master's Degree,No,Software Developer,No,No,Kansas City Community Church,Small Group Leader,N/A,Evangelical,"Kansas City, MO",7,Youth Ministry,11 years,Yes,No,"My commitment to theological study comes from a desire to effectively minister to young people in a technology-driven world. I want to help youth navigate the challenges of social media and digital culture with biblical wisdom.","I plan to use my education to develop youth programs that address technology and social media issues and help young people develop healthy relationships and values.",Yes,Yes,Yes,Church youth event,No
Amanda Grace Phillips,amanda.phillips22@email.com,555-0125,496 Sprucewood Avenue,"Tampa, FL 33601",Female,Married,No,White,United States,United States,Proficient / Native,,English,Associate Degree,No,Office Manager,No,No,Tampa Community Church,Volunteer,N/A,Baptist,"Tampa, FL",4,Children's Ministry,8 years,Yes,No,"I am committed to theological education to become a more effective children's ministry leader. My goal is to help children develop a strong foundation in their faith through engaging and age-appropriate programs.","I will use my theological training to create comprehensive children's ministry programs and develop resources for parents to support their children's spiritual growth.",Yes,Yes,Yes,Church children's event,No
Justin Michael Evans,justin.evans22@email.com,555-0126,507 Hickorywood Street,"St. Louis, MO 63101",Male,Married,Yes,White,United States,United States,Proficient / Native,,English,Bachelor's Degree,No,Insurance Agent,No,No,St. Louis First Baptist,Elder,N/A,Baptist,"St. Louis, MO",13,Men's Ministry,21 years,Yes,No,"My commitment to theological study is driven by a desire to provide spiritual leadership and mentorship to other men in my church and community. I want to help men develop strong Christian character and values.","I plan to use my education to develop men's ministry programs and provide mentorship for young men seeking direction and purpose in their lives.",Yes,Yes,Yes,Church men's retreat,No
Lauren Elizabeth Turner,lauren.turner22@email.com,555-0127,618 Poplarwood Court,"Cleveland, OH 44101",Female,Single,No,White,United States,United States,Proficient / Native,,English,Master's Degree,No,High School Teacher,No,No,Cleveland Community Church,Member,N/A,Presbyterian,"Cleveland, OH",6,Teaching Ministry,12 years,Yes,No,"I am dedicated to theological education to better integrate faith and learning in my classroom and church ministry. My goal is to help students understand how Christian principles apply to their studies and future careers.","I will use my theological training to develop faith-based educational programs and mentor students in integrating their faith with their academic and professional development.",Yes,Yes,Yes,Teacher conference,No
Marcus Anthony Parker,marcus.parker22@email.com,555-0128,729 Sycamorewood Lane,"Indianapolis, IN 46201",Male,Married,Yes,African American,United States,United States,Proficient / Native,,English,High School Diploma,No,Construction Supervisor,No,No,Indianapolis Community Church,Deacon,N/A,Non-Denominational,"Indianapolis, IN",11,Men's Ministry,23 years,Yes,No,"My commitment to theological study comes from a desire to provide spiritual leadership in a community facing economic challenges. I want to help men find purpose and hope through faith and develop strong family relationships.","I plan to use my education to develop men's ministry programs and provide biblical counseling for men dealing with work, family, and relationship challenges.",Yes,Yes,Yes,Church men's retreat,No
